Symbol,Security,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level,Data Date
GPS,Gap Inc.,13,1.1,6.6,5.7,3,2021-05
GRMN,Garmin Ltd.,20,5.9,8.8,4.8,2,2021-05
IT,Gartner Inc,24,0.1,17.1,6.4,1,2021-05
GNRC,Generac Holdings,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GD,General Dynamics,38,9.9,20.2,7.6,3,2021-05
GE,General Electric,43,15.6,15.7,11.5,3,2021-05
GIS,General Mills,21,8.1,9,4.2,2,2021-05
GM,General Motors,31,10.1,12.7,7.9,4,2021-05
GPC,Genuine Parts,13,3.7,5.1,3.9,2,2021-05
GILD,Gilead Sciences,23,0,14.7,8.2,2,2021-05
GL,Globe Life Inc.,23,2.1,8.6,12.3,1,2021-05
GPN,Global Payments Inc.,19,0.2,10.9,7.4,2,2021-05
GS,Goldman Sachs Group,28,1,14.2,13,3,2021-05
GWW,Grainger (W.W.) Inc.,15,3.3,5.6,6.1,1,2021-05
HAL,Halliburton Co.,27,10.9,8.6,7.3,2,2021-05
HBI,Hanesbrands Inc,15,1.3,7.4,5.8,2,2021-05
HIG,Hartford Financial Svc.Gp.,19,1.6,7.4,9.6,2,2021-05
HAS,Hasbro Inc.,12,0.1,6.5,5.7,2,2021-05
HCA,HCA Healthcare,26,3.3,15.5,7.4,2,2021-05
PEAK,Healthpeak Properties,11,3.2,3,4.3,2,2021-05
HSIC,Henry Schein,14,2.9,5.7,5.6,2,2021-05
HSY,The Hershey Company,26,10.5,10.1,5.1,3,2021-05
HES,Hess Corporation,30,16,6.3,7.3,2,2021-05
HPE,Hewlett Packard Enterprise,17,0.7,9.9,6.7,2,2021-05
HLT,Hilton Worldwide Holdings Inc,20,7.9,8.1,3.5,2,2021-05
HFC,HollyFrontier Corp,34,20.9,8,5.1,1,2021-05
HOLX,Hologic,30,4.4,14.3,11.7,2,2021-05
HD,Home Depot,12,3.1,4.8,3.7,2,2021-05
HON,Honeywell Int'l Inc.,31,10,12.1,8.6,3,2021-05
HRL,Hormel Foods Corp.,26,11.3,10.2,5,3,2021-05
HST,Host Hotels & Resorts,14,3.7,5.7,4.9,0,2021-05
HWM,Howmet Aerospace,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HPQ,HP Inc.,11,0.1,4.9,5.5,2,2021-05
HUM,Humana Inc.,23,0.1,17.1,5.4,2,2021-05
HBAN,Huntington Bancshares,21,2,11.3,7.8,2,2021-05
HII,Huntington Ingalls Industries,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IEX,IDEX Corporation,33,10.6,15.3,7.4,0,2021-05
IDXX,Idexx Laboratories,21,3.6,7.1,10,0,2021-05
INFO,IHS Markit,24,0.1,15.9,7.6,1,2021-05
ITW,Illinois Tool Works,19,4.2,8.8,6.4,2,2021-05
ILMN,Illumina Inc,11,1.2,3.6,6.4,2,2021-05
INCY,Incyte,26,0.1,18.3,7.6,1,2021-05
IR,Ingersoll Rand,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INTC,Intel Corp.,17,3.8,6.1,7,3,2021-05
ICE,Intercontinental Exchange,16,1.5,6.8,7.4,3,2021-05
IBM,International Business Machines,18,0.4,10.1,7.5,2,2021-05
IP,International Paper,25,14.8,4.8,5.2,3,2021-05
IPG,Interpublic Group,15,0.1,9.3,6.1,2,2021-05
IFF,International Flavors & Fragrances,24,10.9,5.9,7.6,2,2021-05
INTU,Intuit Inc.,17,1.1,10,5.5,2,2021-05
ISRG,Intuitive Surgical Inc.,30,5,13.9,10.6,1,2021-05
IVZ,Invesco Ltd.,25,2,12.8,9.9,1,2021-05
IPGP,IPG Photonics Corp.,12,3.3,3.5,5.4,0,2021-05
IQV,IQVIA Holdings Inc.,21,1.5,12.5,7.1,1,2021-05
IRM,Iron Mountain Incorporated,15,5.3,4.3,5.3,2,2021-05
JKHY,Jack Henry & Associates,16,1.2,9.7,5.3,0,2021-05
J,Jacobs Engineering Group,25,3.9,13.8,7.7,3,2021-05
JBHT,J. B. Hunt Transport Services,15,4.4,5.6,5.4,1,2021-05
SJM,JM Smucker,27,10.8,9.9,6.3,2,2021-05
JNJ,Johnson & Johnson,30,0.7,19.9,9,4,2021-05
JCI,Johnson Controls International,16,7.5,2.5,6.3,3,2021-05
JPM,JPMorgan Chase & Co.,28,1.1,16.1,10.8,3,2021-05
JNPR,Juniper Networks,16,0.4,9.3,6.4,2,2021-05
KSU,Kansas City Southern,23,9.5,10.2,3.8,2,2021-05
K,Kellogg Co.,27,7.4,14.8,4.6,2,2021-05
KEY,KeyCorp,24,2.2,11,10.9,1,2021-05
KEYS,Keysight Technologies,9,1.9,2.4,5,1,2021-05
KMB,Kimberly-Clark,22,8,7.1,6.9,2,2021-05
KIM,Kimco Realty,13,3.9,3.9,5.4,0,2021-05
KMI,Kinder Morgan,18,8.6,6.1,3.7,2,2021-05
KLAC,KLA Corporation,20,6.8,6.7,6,0,2021-05
KHC,Kraft Heinz Co,34,13.3,14.4,6.6,3,2021-05
KR,Kroger Co.,21,5.2,9.3,6,3,2021-05
LB,L Brands Inc.,16,2.5,7.8,5.9,2,2021-05
LHX,L3Harris Technologies,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LH,Laboratory Corp. of America Holding,15,0.7,7.7,6.9,2,2021-05
LRCX,Lam Research,15,5.1,4.5,5.1,1,2021-05
LW,Lamb Weston Holdings Inc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LVS,Las Vegas Sands,18,1.6,8.1,8.6,2,2021-05
LEG,Leggett & Platt,49,20.4,17.2,11.1,2,2021-05
LDOS,Leidos Holdings,14,1.3,6.7,6,1,2021-05
LEN,Lennar Corp.,24,9.5,9.3,5.5,2,2021-05
LLY,Lilly (Eli) & Co.,30,1.8,17.9,10.3,2,2021-05
LNC,Lincoln National,18,1.8,7.4,8.8,2,2021-05
LIN,Linde plc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LYV,Live Nation Entertainment,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LKQ,LKQ Corporation,14,4.6,5.3,3.7,0,2021-05
LMT,Lockheed Martin Corp.,29,5.3,15.7,7.8,3,2021-05
L,Loews Corp.,15,0.6,3.4,11.3,1,2021-05
LOW,Lowe's Cos.,13,4.4,4.9,3.3,2,2021-05
LUMN,Lumen Technologies,26,5.2,13,7.7,2,2021-05
LYB,LyondellBasell,26,16.4,2.8,7.1,2,2021-05
MTB,M&T Bank,27,2,13.4,11.8,2,2021-05
MRO,Marathon Oil Corp.,43,23.8,10.3,8.8,2,2021-05
MPC,Marathon Petroleum,27,15.1,6.7,5.3,3,2021-05
MKTX,MarketAxess,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MAR,Marriott International,22,7.8,10,3.9,3,2021-05
MMC,Marsh & McLennan,19,0.1,8.4,10.9,2,2021-05
MLM,Martin Marietta Materials,32,17.9,4.9,8.7,2,2021-05
MAS,Masco Corp.,26,13.9,4.3,7.6,1,2021-05
MA,Mastercard Inc.,16,0.1,7.7,8.6,4,2021-05
MKC,McCormick & Co.,28,9,14.1,5.3,2,2021-05
MXIM,Maxim Integrated Products,22,7.5,7.9,6.5,0,2021-05
MCD,McDonald's Corp.,24,3.7,14.6,5.6,3,2021-05
MCK,McKesson Corp.,16,2,8.9,5.4,4,2021-05
MDT,Medtronic plc,24,2.6,14,7.7,3,2021-05
MRK,Merck & Co.,23,0.9,11.3,10.8,3,2021-05
MET,MetLife Inc.,19,1.4,7.8,9.3,2,2021-05
MTD,Mettler Toledo,13,0.6,7.2,5.3,1,2021-05
MGM,MGM Resorts International,28,3,13.1,11.9,2,2021-05
MCHP,Microchip Technology,32,13.9,9.1,8.5,1,2021-05
MU,Micron Technology,18,7.3,4.2,6.4,2,2021-05
MSFT,Microsoft Corp.,15,0.4,9.4,4.8,3,2021-05
MAA,Mid-America Apartments,19,6,7.1,5.6,1,2021-05
MHK,Mohawk Industries,14,5.5,4.5,4.5,2,2021-05
